Word,Type,Definition,Association
o,determiner,the,
de,preposition,from,
e,conjunction,and,
que,pronoun,what,
ser,verb,to be,
um,determiner,one,
em,preposition,in,
para,preposition,for,
com,preposition,with,
a,preposition,to,
ter,verb,to have,
não,adverb,not,
por,preposition,by,
seu,determiner,yours,
se,pronoun,if,
mais,adverb,more,
estar,verb,to be,
como,preposition,as,
este,determiner,this,
poder,verb,can,
ou,conjunction,or,
todo,determiner,all,
ano,noun,year,
fazer,verb,to do,
mas,conjunction,but,
ir,verb,to go,
muito,adverb,very much,
também,adverb,also,
outro,determiner,other,
ele,pronoun,he,
já,adverb,already,
dia,noun,day,
novo,adjective,new,
haver,verb,to have,
grande,adjective,great,
ainda,adverb,still,
sobre,preposition,on,
até,preposition,until,
dizer,verb,to say,
mesmo,adjective,same,
pessoa,noun,person,
entre,preposition,"among, between",
dever,verb,should,
esse,determiner,that,
nosso,determiner,our,
caso,noun,case,
eu,pronoun,I,
dois,numeral,two,
bom,adjective,good,
dar,verb,to give,
algum,determiner,some,
forma,noun,form,
segundo,preposition,second,
vez,noun,time,
empresa,noun,company,
primeiro,adjective,first,
sem,preposition,without,
quando,adverb,when,
Portugal,proper noun,Portugal,
isso,pronoun,that,
país,noun,country,
tempo,noun,time,
bem,adverb,well,
só,adverb,only,
serviço,noun,service,
ficar,verb,stay,
nós,pronoun,we,
querer,verb,to want,
trabalho,noun,job,
público,adjective,public,
onde,pronoun,where,
estado,noun,state,
parte,noun,part,
assim,adverb,thus,
desde,preposition,since,
passar,verb,to pass,
cada,determiner,each,
informação,noun,information,
último,adjective,last,
sempre,adverb,always,
hoje,adverb,today,
depois,adverb,later,
presidente,noun,president,
durante,preposition,during,
vida,noun,life,
área,noun,area,
apresentar,verb,to introduce,
porque,conjunction,because,
ver,verb,to see,
social,adjective,social,
apenas,adverb,only,
quem,pronoun,who,
qualquer,determiner,any,
além,adverb,beyond,
qual,pronoun,which,
mês,noun,month,
após,preposition,after,
chegar,verb,to arrive,
meu,determiner,mine,
saber,verb,to know,
milhão,numeral,million,
vir,verb,to come,
realizar,verb,perform,
número,noun,number,
receber,verb,to receive,
momento,noun,moment,
cidade,noun,city,
casa,noun,house,
português,adjective,Portuguese,
permitir,verb,to allow,
Lisboa,proper noun,Lisbon,
valor,noun,value,
acordo,noun,agreement,
local,noun,location,
agora,adverb,now,
afirmar,verb,assert,
mil,numeral,thousand,
três,numeral,three,
processo,noun,process,
medida,noun,measure,
mundo,noun,world,
encontrar,verb,to meet,
tudo,pronoun,everything,
através,adverb,through,
pouco,adverb,little,
próximo,adjective,next,
pequeno,adjective,small,
situação,noun,situation,
Brasil,proper noun,Brazil,
sistema,noun,system,
deixar,verb,to leave,
criar,verb,to create,
contar,verb,to tell,
final,noun,final,
dado,noun,given,
nível,noun,level,
meio,noun,middle,
São,proper noun,,
pandemia,noun,pandemic,
contra,preposition,against,
possível,adjective,possible,
grupo,noun,group,
mercado,noun,market,
ela,pronoun,she,
levar,verb,to take,
governo,noun,government,
saúde,noun,health,
resultado,noun,result,
semana,noun,week,
começar,verb,to start,
espaço,noun,space,
conseguir,verb,to get,
nem,conjunction,nor,
ponto,noun,point,
importante,adjective,important,
produto,noun,product,
partir,verb,leave,
continuar,verb,to continue,
direito,noun,right,
nacional,adjective,national,
próprio,adjective,own,
falar,verb,to speak,
rede,noun,network,
hora,noun,hour,
eles,pronoun,they,
programa,noun,program,
antes,adverb,before,
cerca,adverb,around,
relação,noun,relationship,
profissional,noun,professional,
região,noun,region,
menos,adverb,less,
utilizar,verb,to use,
jogo,noun,game,
família,noun,family,
lugar,noun,place,
fim,noun,end,
considerar,verb,to consider,
Paulo,proper noun,Paul,
acontecer,verb,to happen,
existir,verb,to exist,
aqui,adverb,here,
conta,noun,account,
Saúde,proper noun,,
projecto,noun,project,
problema,noun,problem,
período,noun,period,
conhecer,verb,to meet,
necessário,adjective,necessary,
usar,verb,to use,
apoio,noun,support,
principal,adjective,main,
precisar,verb,to need,
seguir,verb,to follow,
acesso,noun,access,
equipa,noun,team,
criança,noun,child,
disponível,adjective,available,
exemplo,noun,example,
cliente,noun,customer,
longo,noun,long,
decisão,noun,decision,
trabalhar,verb,to work,
coisa,noun,thing,
manter,verb,to maintain,
projeto,noun,project,
desenvolver,verb,to develop,
lado,noun,side,
população,noun,population,
passado,adjective,past,
tipo,noun,type,
condição,noun,condition,
ação,noun,action,
tanto,adverb,so much,
solução,noun,solution,
presente,adjective,present,
desenvolvimento,noun,development,
incluir,verb,to include,
alto,adjective,high,
mulher,noun,woman,
voltar,verb,to come back,
garantir,verb,To guarantee,
necessidade,noun,need,
obra,noun,work,
estudo,noun,study,
segurança,noun,safety,
ajudar,verb,to help,
tal,determiner,such,
jovem,noun,young,
você,pronoun,you,
município,noun,county,
início,noun,beginning,
homem,noun,man,
abrir,verb,to open,
qualidade,noun,quality,
questão,noun,question,
enquanto,adverb,while,
euro,noun,euro,
então,adverb,then,
actividade,noun,activity,
viver,verb,to live,
história,noun,history,
formação,noun,formation,
aluno,noun,student,
vários,determiner,several,
ideia,noun,idea,
risco,noun,risk,
mostrar,verb,to show,
escola,noun,school,
entrar,verb,enter,
pensar,verb,to think,
recurso,noun,resource,
total,noun,total,
quatro,numeral,four,
gestão,noun,management,
colocar,verb,to put,
site,noun,site,
político,adjective,political,
doença,noun,disease,
nunca,adverb,never,
internacional,adjective,international,
nome,noun,name,
água,noun,water,
morte,noun,death,
explicar,verb,to explain,
quanto,adverb,how much,
técnico,adjective,technical,
isto,pronoun,this,
responsável,adjective,responsible,
base,noun,base,
utilização,noun,use,
Porto,proper noun,,
instituição,noun,institution,
tão,adverb,so,
artigo,noun,article,
atividade,noun,activity,
confirmar,verb,to confirm,
pois,conjunction,because,
tomar,verb,to take,
negócio,noun,business,
Rio,proper noun,,
experiência,noun,experience,
único,adjective,unique,
quase,adverb,almost,
função,noun,function,
entanto,noun,however,
gente,noun,people,
acabar,verb,to finish,
informar,verb,to inform,
produção,noun,production,
conjunto,noun,set,
zona,noun,zone,
ocorrer,verb,to occur,
apesar,adverb,despite,
várias,determiner,several,
iniciativa,noun,initiative,
aumentar,verb,to increase,
unidade,noun,unity,
futuro,noun,future,
pretender,verb,intend,
objectivo,noun,aim,
organização,noun,organization,
utilizador,noun,user,
brasileiro,adjective,Brazilian,
novembro,noun,November,
preço,noun,price,
referir,verb,to refer,
pedir,verb,ask,
junto,adverb,together,
tentar,verb,to try,
dentro,adverb,inside,
diferente,adjective,different,
aquele,determiner,that,
proposta,noun,proposal,
nada,pronoun,nothing,
divulgar,verb,to spread,
médico,noun,doctor,
evento,noun,event,
cinco,numeral,five,
uma,determiner,one,
perder,verb,to lose,
parecer,verb,to seem,
efeito,noun,effect,
sentido,noun,sense,
sair,verb,to exit,
livro,noun,book,
investigação,noun,investigation,
imagem,noun,image,
João,proper noun,John,
devido,adverb,due,
equipe,noun,team,
esperar,verb,to wait,
financeiro,adjective,financial,
centro,noun,center,
plano,noun,plan,
causa,noun,cause,
resposta,noun,answer,
modo,noun,mode,
aumento,noun,increase,
tornar,verb,to become,
anterior,adjective,previous,
fase,noun,phase,
publicar,verb,to publish,
capacidade,noun,capacity,
prazo,noun,deadline,
equipamento,noun,equipment,
nenhum,determiner,none,
procurar,verb,look for,
participar,verb,to participate,
obter,verb,to get,
representar,verb,to represent,
oportunidade,noun,opportunity,
ganhar,verb,to win,
modelo,noun,model,
especial,adjective,special,
anunciar,verb,to announce,
março,noun,March,
política,noun,politics,
edição,noun,edition,
facto,noun,fact,
documento,noun,document,
outubro,noun,October,
marca,noun,brand,
taxa,noun,rate,
venda,noun,sale,
pessoal,adjective,personal,
tema,noun,theme,
entidade,noun,entity,
prever,verb,to predict,
objetivo,noun,objective,
pagar,verb,to pay,
investimento,noun,investment,
ministro,noun,minister,
linha,noun,line,
alteração,noun,alteration,
atingir,verb,to reach,
frente,noun,front,
junho,noun,June,
lei,noun,law,
filho,noun,son,
economia,noun,economy,
aplicação,noun,application,
pagamento,noun,payment,
crise,noun,crisis,
conhecimento,noun,knowledge,
noite,noun,night,
Europa,proper noun,Europe,
registrar,verb,to register,
fora,adverb,outside,
geral,adjective,general,
data,noun,date,
curso,noun,course,
José,proper noun,Joseph,
decorrer,verb,to elapse,
evitar,verb,to avoid,
vítima,noun,victim,
pedido,noun,order,
comunicação,noun,communication,
sociedade,noun,society,
prática,noun,practice,
setembro,noun,September,
uso,noun,use,
professor,noun,teacher,
promover,verb,to promote,
membro,noun,member,
domingo,noun,Sunday,
marcar,verb,to mark,
indicar,verb,to indicate,
tratar,verb,treat,
capital,noun,capital,
achar,verb,to find,
concelho,noun,county,
clube,noun,club,
antigo,adjective,old,
económico,adjective,economic,
integrar,verb,integrate,
campanha,noun,campaign,
forte,adjective,strong,
pai,noun,father,
cujo,determiner,whose,
prova,noun,test,
abril,noun,April,
destacar,verb,to highlight,
chamar,verb,to call,
sessão,noun,session,
conteúdo,noun,content,
europeu,adjective,European,
comunidade,noun,community,
custo,noun,cost,
elemento,noun,element,
jogador,noun,player,
determinar,verb,to determine,
contrato,noun,contract,
papel,noun,paper,
lá,adverb,there,
candidato,noun,candidate,
sábado,noun,Saturday,
acção,noun,action,
paciente,noun,patient,
positivo,adjective,positive,
maio,noun,May,
interesse,noun,interest,
oferecer,verb,to offer,
operação,noun,operation,
ambiente,noun,environment,
participação,noun,participation,
dezembro,noun,December,
construção,noun,construction,
decidir,verb,to decide,
veículo,noun,vehicle,
julho,noun,July,
diversos,determiner,miscellaneous,
ensino,noun,teaching,
acompanhar,verb,to accompany,
intervenção,noun,intervention,
mão,noun,hand,
energia,noun,energy,
razão,noun,reason,
presença,noun,presence,
maioria,noun,majority,
sentir,verb,to feel,
trabalhador,noun,worker,
revelar,verb,to reveal,
humano,adjective,human,
século,noun,century,
âmbito,noun,scope,
prefeito,noun,mayor,
fundo,noun,background,
possibilidade,noun,possibility,
reduzir,verb,to reduce,
dinheiro,noun,money,
página,noun,page,
janeiro,noun,January,
teste,noun,test,
tarde,noun,afternoon,
terceiro,adjective,third,
acreditar,verb,believe,
aprovar,verb,to approve,
claro,adjective,of course,
certo,adjective,right,
iniciar,verb,to start,
tratamento,noun,treatment,
volta,noun,return,
surgir,verb,to emerge,
responder,verb,to answer,
sob,preposition,under,
seis,numeral,six,
gostar,verb,to like,
força,noun,force,
crescimento,noun,growth,
série,noun,series,
análise,noun,analysis,
mudar,verb,to change,
amigo,noun,friend,
texto,noun,text,
rua,noun,road,
palavra,noun,word,
reunião,noun,meeting,
definir,verb,to define,
altura,noun,height,
contribuir,verb,to contribute,
caminho,noun,way,
minuto,noun,minute,
opção,noun,option,
Câmara,proper noun,,
crime,noun,crime,
mudança,noun,change,
difícil,adjective,difficult,
defender,verb,to defend,
lançar,verb,to throw,
criação,noun,creation,
dificuldade,noun,difficulty,
enviar,verb,send,
embora,conjunction,although,
eleição,noun,election,
baixo,adjective,low,
sector,noun,sector,
regra,noun,rule,
importância,noun,importance,
constituir,verb,to constitute,
natural,adjective,natural,
entrada,noun,entry,
funcionar,verb,to work,
mensagem,noun,message,
produzir,verb,to produce,
identificar,verb,to identify,
época,noun,season,
seguinte,adjective,following,
tecnologia,noun,technology,
Deus,proper noun,God,
corpo,noun,body,
algo,pronoun,something,
sucesso,noun,success,
hospital,noun,hospital,
desafio,noun,challenge,
apontar,verb,"to point out, to indicate",
associação,noun,association,
envolver,verb,to involve,
setor,noun,sector,
atendimento,noun,attendance,
apoiar,verb,to support,
autoridade,noun,authority,
realidade,noun,reality,
